repo,total,LaTeX,Markdown,Objective-C,Python,YAML,ext:.asv,ext:.aux,ext:.csv,ext:.log,ext:.toc,ext:.txt,ext:<noext>
501_report_Fa25,6696,2802,0,0,1297,0,0,162,0,2204,14,213,4
graduate-coursework,5495,5495,0,0,0,0,0,0,0,0,0,0,0
Machine-Learning_EMCH368,2121,0,0,562,0,0,91,0,1461,0,0,0,7
vrifa,1800,0,223,0,1365,61,0,0,0,0,0,147,4
MO-CAP,472,0,20,0,431,0,0,0,0,0,0,0,21
Java-Chess-Game,30,0,30,0,0,0,0,0,0,0,0,0,0
