repo,total,LaTeX,Markdown,Objective-C,Other,Python,YAML
501_report_Fa25,6696,2802,0,0,2597,1297,0
graduate-coursework,5495,5495,0,0,0,0,0
Machine-Learning_EMCH368,2121,0,0,562,1559,0,0
vrifa,1800,0,223,0,151,1365,61
MO-CAP,472,0,20,0,21,431,0
Java-Chess-Game,30,0,30,0,0,0,0
